"","beer","brewery","location","alcohol","calories","carbs"
"1","American Amber Lager","Straub Brewery","domestic","4","136","10.5"
"2","American Lager","Straub Brewery","domestic","4","132","10.5"
"3","American Light","Straub Brewery","domestic","3","96","7.6"
"4","Amstel Light","Amstel Brouwerij B.V. (Holland)","import","4","99","5.33"
"5","Anchor Steam","Anchor","domestic","5","153","16"
"6","Anheuser Busch Natural Ice","Anheuser Busch","domestic","6","157","8.9"
"7","Anheuser Busch Natural Light","Anheuser Busch","domestic","4","95","3.2"
"8","Aspen Edge","Adolph Coors","domestic","4","94","2.6"
"9","Bard’s Gold (Gluten-Free)","Bard’s Tale Beer Co","domestic","5","155","14.2"
"10","Beck’s Beer","Brauerei Beck (Germany)","import","5","143","10"
"11","Beck’s Dark","Brauerei Beck (Germany)","import","5","146","11"
"12","Beck’s Light","Brauerei Beck (Germany)","import","2","64","3.9"
"13","Big Sky Moose Drool Brown Ale","Big Sky Brewing","domestic","5","177","15.6"
"14","Big Sky Scape Goat Pale Ale","Big Sky Brewing","domestic","5","163","13.9"
"15","Big Sky Summer Honey Ale (seasonal)","Big Sky Brewing","domestic","5","154","11.6"
"16","Big Sky Trout Slayer Ale","Big Sky Brewing","domestic","5","163","13.9"
"17","Blatz Beer","Blatz","domestic","5","153","12.5"
"18","Blue Moon","Adolph Coors","domestic","5","171","13.7"
"19","Breckenridge Brown Ale","Breckenridge Brewery","domestic","6","196","21.9"
"20","Breckenridge Red Ale","Breckenridge Brewery","domestic","6","193","21.8"
"21","Bud Dry","Budweiser","domestic","5","130","7.8"
"22","Bud Ice","Budweiser","domestic","6","123","8.9"
"23","Bud Ice Light","Budweiser","domestic","5","115","7.5"
"24","Bud Light","Budweiser","domestic","4","110","6.6"
"25","Bud Light Lime","Budweiser","domestic","4","116","8"
"26","Bud Light Platinum","Budweiser","domestic","6","137","4.4"
"27","Budweiser","Budweiser","domestic","5","145","10.6"
"28","Budweiser Black Crown","Budweiser","domestic","6","146","10"
"29","Budweiser Select","Budweiser","domestic","4","99","3.1"
"30","Budweiser Select 55","Budweiser","domestic","2","55","1.9"
"31","Busch Beer","Anheuser Busch","domestic","5","133","10.2"
"32","Busch Ice","Anheuser Busch","domestic","6","169","12.5"
