"","age","Sex","Degree","Race","Grass","Life","Tax","Mode"
"1","30","Female","HS","White","Yes","Very satisfied","High","In Person"
"2","64","Male","Bachelor","White","Yes","Pretty satisfied","High","Phone"
"3","73","Female","Graduate","White","Yes","Pretty satisfied","High","In Person"
"4","74","Female","JC","White","Yes","Pretty satisfied","High","In Person"
"5","56","Female","JC","White","No","Very satisfied","High","In Person"
"6","57","Female","No HS","Other","Yes","Pretty satisfied","OK","In Person"
"7","65","Male","HS","White","No","Pretty satisfied","OK","In Person"
"8","41","Female","Graduate","White","Yes","Very satisfied","High","In Person"
"9","57","Male","Bachelor","White","No","Pretty satisfied","High","Web"
"10","63","Female","HS","Other","No","Not too satisfied","High","In Person"
"11","20","Female","HS","Other","Yes","Very satisfied","High","Phone"
"12","36","Male","Graduate","Other","No","Very satisfied","High","In Person"
"13","75","Female","HS","Black","No","Very satisfied","High","Phone"
"14","54","Male","HS","Black","Yes","Very satisfied","High","In Person"
"15","72","Female","HS","Black","Yes","Very satisfied","OK","In Person"
"16","48","Male","HS","Black","Yes","Very satisfied","High","Phone"
"17","39","Female","HS","Black","Yes","Pretty satisfied","High","In Person"
"18","48","Female","No HS","White","Yes","Very satisfied","Low","In Person"
"19","45","Female","No HS","Black","Yes","Pretty satisfied","OK","In Person"
"20","38","Female","HS","Other","No","Pretty satisfied","OK","In Person"
"21","89","Female","Bachelor","White","Yes","Pretty satisfied","High","Phone"
"22","62","Male","HS","White","Yes","Very satisfied","High","In Person"
"23","49","Female","Bachelor","White","No","Very satisfied","OK","In Person"
"24","39","Male","Bachelor","Other","Yes","Very satisfied","High","In Person"
"25","66","Male","HS","White","Yes","Very satisfied","High","In Person"
"26","48","Female","Bachelor","Black","Yes","Very satisfied","High","In Person"
"27","29","Female","HS","Other","Yes","Pretty satisfied","High","In Person"
"28","39","Male","HS","White","No","Pretty satisfied","High","Web"
"29","34","Female","Bachelor","White","Yes","Pretty satisfied","High","In Person"
"30","73","Male","Bachelor","White","Yes","Very satisfied","High","Phone"
"31","55","Female","HS","Other","Yes","Pretty satisfied","High","In Person"
"32","82","Female","No HS","Other","No","Pretty satisfied","High","In Person"
"33","54","Male","JC","Other","Yes","Pretty satisfied","High","In Person"
"34","63","Male","Graduate","White","Yes","Pretty satisfied","OK","In Person"
"35","36","Male","JC","White","Yes","Very satisfied","OK","In Person"
"36","69","Female","Graduate","White","Yes","Pretty satisfied","High","In Person"
"37","40","Male","HS","Black","No","Pretty satisfied","High","In Person"
"38","55","Female","Bachelor","White","Yes","Pretty satisfied","High","In Person"
"39","89","Female","HS","White","Yes","Very satisfied","High","In Person"
"40","58","Male","Bachelor","White","Yes","Pretty satisfied","High","In Person"
"41","60","Female","HS","White","Yes","Pretty satisfied","OK","Phone"
"42","45","Male","HS","Black","Yes","Very satisfied","High","In Person"
"43","35","Male","HS","Other","Yes","Pretty satisfied","High","In Person"
"44","66","Male","HS","Black","Yes","Very satisfied","High","In Person"
"45","36","Female","HS","Black","Yes","Pretty satisfied","High","In Person"
"46","63","Female","Graduate","Black","No","Very satisfied","High","Phone"
"47","85","Female","No HS","Black","Yes","Pretty satisfied","High","Phone"
"48","46","Female","Bachelor","White","No","Pretty satisfied","OK","In Person"
"49","46","Male","Graduate","Black","Yes","Very satisfied","High","In Person"
"50","33","Male","Bachelor","White","Yes","Very satisfied","High","Phone"
"51","42","Male","Bachelor","Black","No","Pretty satisfied","High","In Person"
"52","61","Male","HS","White","Yes","Pretty satisfied","High","Web"
"53","89","Female","Bachelor","White","Yes","Pretty satisfied","High","In Person"
"54","41","Male","Graduate","White","Yes","Very satisfied","OK","In Person"
"55","19","Male","HS","Black","Yes","Pretty satisfied","High","In Person"
"56","44","Female","Graduate","Black","No","Very satisfied","High","In Person"
"57","30","Female","No HS","White","Yes","Very satisfied","High","In Person"
"58","56","Male","Bachelor","Other","No","Pretty satisfied","High","In Person"
"59","53","Female","HS","Other","No","Pretty satisfied","High","In Person"
"60","56","Male","Bachelor","Other","Yes","Pretty satisfied","High","Phone"
"61","61","Female","HS","White","No","Not too satisfied","High","In Person"
"62","59","Male","No HS","White","Yes","Pretty satisfied","OK","In Person"
"63","64","Male","Graduate","Other","No","Very satisfied","OK","In Person"
"64","56","Male","No HS","White","Yes","Pretty satisfied","OK","Phone"
"65","36","Female","HS","Black","No","Very satisfied","High","In Person"
"66","65","Female","JC","White","Yes","Pretty satisfied","Low","In Person"
"67","69","Male","HS","Other","Yes","Pretty satisfied","OK","In Person"
"68","80","Male","HS","White","Yes","Very satisfied","OK","In Person"
"69","39","Female","JC","White","Yes","Very satisfied","High","In Person"
"70","30","Male","Bachelor","White","Yes","Pretty satisfied","OK","In Person"
"71","30","Female","No HS","White","No","Pretty satisfied","High","Phone"
"72","29","Male","HS","Black","Yes","Very satisfied","High","In Person"
"73","23","Female","HS","Black","Yes","Pretty satisfied","High","In Person"
"74","33","Female","HS","Black","Yes","Pretty satisfied","High","In Person"
"75","48","Female","HS","Black","No","Very satisfied","OK","In Person"
"76","81","Female","HS","Black","Yes","Pretty satisfied","High","In Person"
"77","66","Male","Bachelor","White","Yes","Very satisfied","OK","In Person"
"78","34","Female","JC","White","Yes","Very satisfied","High","In Person"
"79","62","Female","Bachelor","White","Yes","Pretty satisfied","High","In Person"
"80","47","Female","HS","Black","Yes","Very satisfied","OK","Phone"
"81","47","Female","HS","White","No","Pretty satisfied","OK","In Person"
"82","19","Male","HS","White","Yes","Very satisfied","OK","In Person"
"83","37","Female","Bachelor","Black","Yes","Very satisfied","High","In Person"
"84","57","Male","No HS","Black","Yes","Very satisfied","Low","Web"
"85","37","Male","HS","Other","Yes","Pretty satisfied","High","In Person"
"86","37","Male","HS","Black","No","Very satisfied","OK","In Person"
"87","51","Female","HS","White","Yes","Very satisfied","High","In Person"
"88","58","Female","Bachelor","White","No","Pretty satisfied","High","In Person"
"89","79","Male","HS","White","Yes","Pretty satisfied","High","In Person"
"90","20","Male","HS","Other","Yes","Pretty satisfied","Low","In Person"
"91","61","Female","HS","Black","No","Very satisfied","OK","In Person"
"92","25","Male","HS","Black","Yes","Pretty satisfied","High","In Person"
"93","27","Female","HS","White","Yes","Pretty satisfied","High","In Person"
"94","79","Male","Bachelor","White","Yes","Very satisfied","OK","In Person"
"95","49","Female","JC","Black","Yes","Very satisfied","High","Phone"
"96","47","Male","Graduate","White","Yes","Pretty satisfied","High","In Person"
"97","33","Female","Bachelor","White","Yes","Pretty satisfied","High","In Person"
"98","36","Female","Bachelor","White","Yes","Pretty satisfied","OK","In Person"
"99","69","Female","Bachelor","Black","Yes","Pretty satisfied","OK","Phone"
"100","25","Female","Bachelor","Black","No","Pretty satisfied","High","Phone"
"101","36","Male","Bachelor","White","Yes","Pretty satisfied","High","In Person"
"102","25","Female","JC","Other","Yes","Very satisfied","High","In Person"
"103","82","Male","Bachelor","White","No","Very satisfied","OK","In Person"
"104","68","Female","JC","Other","Yes","Pretty satisfied","High","In Person"
"105","48","Female","No HS","White","Yes","Very satisfied","High","In Person"
"106","53","Male","Bachelor","White","Yes","Pretty satisfied","High","In Person"
"107","82","Female","HS","White","No","Pretty satisfied","OK","In Person"
"108","80","Female","Bachelor","White","Yes","Pretty satisfied","High","In Person"
"109","64","Male","HS","Other","No","Pretty satisfied","OK","Phone"
"110","78","Male","HS","White","Yes","Pretty satisfied","OK","In Person"
"111","49","Female","HS","Black","Yes","Pretty satisfied","High","In Person"
"112","74","Male","HS","White","Yes","Pretty satisfied","High","In Person"
"113","67","Female","Bachelor","White","Yes","Pretty satisfied","High","Phone"
"114","43","Male","JC","White","No","Pretty satisfied","High","Phone"
"115","67","Male","JC","Other","Yes","Very satisfied","High","Phone"
"116","53","Female","HS","White","Yes","Very satisfied","OK","In Person"
"117","19","Male","HS","White","Yes","Very satisfied","Low","In Person"
"118","46","Female","JC","White","No","Pretty satisfied","High","In Person"
"119","63","Female","Bachelor","White","Yes","Pretty satisfied","OK","Phone"
"120","50","Male","No HS","Other","Yes","Very satisfied","OK","Phone"
"121","29","Male","HS","White","Yes","Pretty satisfied","High","In Person"
"122","74","Female","HS","White","No","Pretty satisfied","High","Phone"
"123","52","Male","HS","Other","Yes","Pretty satisfied","OK","In Person"
"124","74","Male","JC","White","No","Very satisfied","High","Web"
"125","27","Female","No HS","Black","Yes","Not too satisfied","High","In Person"
"126","22","Male","HS","Black","Yes","Pretty satisfied","High","In Person"
"127","66","Male","Graduate","White","Yes","Pretty satisfied","OK","In Person"
"128","66","Male","HS","White","No","Very satisfied","High","In Person"
"129","60","Male","Graduate","White","Yes","Very satisfied","High","In Person"
"130","74","Female","Bachelor","Black","No","Pretty satisfied","High","Phone"
"131","39","Male","Graduate","White","No","Pretty satisfied","OK","In Person"
"132","31","Female","No HS","Other","No","Very satisfied","High","In Person"
"133","31","Female","Bachelor","White","No","Pretty satisfied","High","In Person"
"134","68","Female","HS","White","Yes","Pretty satisfied","High","In Person"
"135","89","Female","Graduate","White","Yes","Very satisfied","High","In Person"
"136","34","Male","Graduate","White","Yes","Pretty satisfied","High","In Person"
"137","45","Female","HS","White","Yes","Very satisfied","High","In Person"
"138","74","Male","HS","White","Yes","Very satisfied","OK","Phone"
"139","68","Male","HS","White","Yes","Very satisfied","OK","In Person"
"140","47","Female","Graduate","Black","Yes","Very satisfied","High","In Person"
"141","73","Male","HS","White","Yes","Very satisfied","OK","In Person"
"142","80","Female","HS","White","Yes","Pretty satisfied","High","Phone"
"143","55","Female","HS","White","Yes","Pretty satisfied","High","Phone"
"144","60","Female","JC","Other","Yes","Pretty satisfied","High","Phone"
"145","79","Female","JC","Black","Yes","Pretty satisfied","High","Phone"
"146","21","Male","HS","Black","Yes","Pretty satisfied","High","In Person"
"147","45","Female","Bachelor","Black","No","Very satisfied","High","In Person"
"148","66","Male","No HS","Black","No","Pretty satisfied","High","In Person"
"149","41","Male","HS","Black","Yes","Very satisfied","High","Phone"
"150","47","Male","HS","White","Yes","Pretty satisfied","High","Phone"
"151","59","Male","HS","White","Yes","Very satisfied","High","In Person"
"152","66","Male","Bachelor","Black","Yes","Not too satisfied","High","Phone"
"153","37","Male","Bachelor","Black","Yes","Pretty satisfied","High","In Person"
"154","74","Female","HS","White","Yes","Very satisfied","High","In Person"
"155","22","Female","HS","Black","Yes","Very satisfied","High","In Person"
"156","49","Female","HS","Black","Yes","Very satisfied","OK","In Person"
"157","74","Male","HS","White","Yes","Not too satisfied","OK","In Person"
"158","82","Female","HS","White","No","Pretty satisfied","High","In Person"
"159","39","Male","Graduate","White","Yes","Very satisfied","High","In Person"
"160","31","Female","No HS","Other","No","Pretty satisfied","High","In Person"
"161","65","Female","JC","White","Yes","Pretty satisfied","High","In Person"
"162","45","Female","HS","White","Yes","Pretty satisfied","High","In Person"
"163","22","Female","No HS","Other","Yes","Not too satisfied","High","In Person"
